,State,County,TotalPop,Hispanic,White,Black,Native,Asian,Pacific,IncomePerCap,Poverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment,Average_House_Price
426,Georgia,Jackson County,63851,7.1,82.4,6.7,0.1,1.7,0.0,25598,12.5,32.3,15.8,25.1,10.0,16.8,85.5,8.8,0.2,0.2,1.0,4.3,30.8,78.8,14.0,6.8,0.5,6.5,200760.2070133212
427,Georgia,Jasper County,13732,3.9,73.6,20.8,0.2,0.3,0.0,19784,19.4,24.3,14.0,18.9,20.5,22.4,82.7,10.2,0.1,1.5,2.3,3.2,32.6,76.4,15.5,8.0,0.1,7.2,137677.46666311615
428,Georgia,Jeff Davis County,14999,11.4,71.6,16.6,0.0,0.0,0.0,18550,20.6,26.4,15.0,23.6,17.3,17.6,87.2,9.9,0.1,1.2,0.3,1.3,23.0,77.4,18.3,4.3,0.0,5.0,73120.96705972584
430,Georgia,Jenkins County,8929,6.4,56.2,35.5,0.2,0.9,0.0,15149,30.7,25.5,26.9,15.6,11.3,20.8,79.8,13.3,0.0,3.2,0.0,3.7,25.5,70.2,24.3,5.5,0.0,6.3,61336.16928940325
431,Georgia,Johnson County,9800,2.3,62.6,33.8,0.0,0.2,0.0,19706,21.5,23.1,17.0,19.3,13.4,27.2,77.1,18.1,0.0,0.6,1.1,3.2,28.6,70.4,21.3,8.0,0.3,11.4,72981.54309555599
432,Georgia,Jones County,28540,1.5,71.9,24.7,0.2,0.7,0.0,26098,14.2,33.8,12.4,27.5,11.8,14.4,85.0,9.8,0.4,0.6,0.4,3.8,26.9,73.4,20.7,5.9,0.0,8.7,135239.3351246694
433,Georgia,Lamar County,18282,2.3,65.0,29.0,0.1,0.8,0.0,20458,20.8,31.2,18.5,23.1,8.0,19.2,79.7,12.2,0.0,2.7,1.4,3.9,29.6,76.4,15.8,7.7,0.1,11.4,124968.28220317588
435,Georgia,Laurens County,47451,2.6,58.2,36.7,0.1,1.1,0.0,20687,27.3,31.2,19.1,22.8,9.9,17.1,85.8,9.4,0.2,1.7,1.1,1.7,23.0,73.9,20.1,5.8,0.2,5.1,103207.00535806724
436,Georgia,Lee County,29216,2.7,72.8,19.5,0.0,2.5,0.1,28061,11.6,39.9,11.6,25.0,11.3,12.2,87.6,7.9,0.0,0.2,0.3,4.0,20.5,70.1,24.1,5.6,0.3,7.1,142874.7448937715
438,Georgia,Lincoln County,7768,1.5,65.4,32.2,0.1,0.2,0.0,24529,23.0,20.5,19.3,22.3,18.5,19.4,85.9,8.0,0.2,0.6,1.8,3.5,33.3,74.9,18.3,6.7,0.1,6.0,115647.61334686687
440,Georgia,Lowndes County,113941,5.4,54.5,36.1,0.2,1.9,0.0,21199,25.0,30.9,20.0,28.4,8.8,11.8,85.3,8.8,0.4,1.7,1.2,2.6,19.2,77.2,18.5,4.1,0.2,9.2,119033.92575933259
441,Georgia,Lumpkin County,31567,4.7,90.8,2.1,0.7,0.4,0.0,23364,20.1,28.8,20.8,24.1,11.0,15.3,85.2,7.1,0.2,3.2,0.9,3.5,28.7,74.1,17.7,7.7,0.5,6.0,188686.90196511996
442,Georgia,McDuffie County,21488,2.9,54.2,40.3,0.0,0.5,0.8,20436,26.0,29.0,17.7,21.2,11.0,21.0,88.2,7.1,0.0,0.3,2.1,2.3,26.5,80.5,16.0,3.4,0.2,8.1,96749.83483407374
443,Georgia,McIntosh County,14061,1.5,61.7,35.1,0.1,0.0,0.1,25226,20.3,23.0,17.9,27.0,13.2,18.9,80.1,12.8,0.0,1.6,0.2,5.3,29.1,77.7,16.6,5.8,0.0,9.2,120549.68837492842
445,Georgia,Madison County,28600,4.9,82.9,8.6,0.3,1.4,0.0,22885,17.6,29.7,15.1,22.0,13.8,19.3,83.0,10.3,0.2,0.9,1.6,4.0,26.0,72.9,18.7,8.2,0.2,8.0,150638.25582161537
446,Georgia,Marion County,8558,1.7,59.2,35.7,0.0,0.7,0.5,20154,23.1,28.5,13.5,20.9,18.5,18.6,82.6,9.5,1.2,0.0,3.6,3.2,32.3,64.8,27.6,7.7,0.0,10.0,93648.86657692744
447,Georgia,Meriwether County,21152,2.1,56.3,38.4,0.2,0.6,0.0,19679,22.7,23.7,16.0,19.8,16.5,24.0,80.4,14.0,0.6,1.9,1.0,2.1,33.0,75.2,16.8,7.6,0.5,8.1,96774.73037336284
448,Georgia,Miller County,5884,0.4,68.4,30.3,0.8,0.0,0.0,21002,23.3,28.8,23.2,20.6,14.1,13.2,85.7,8.1,1.4,1.0,2.0,1.7,24.3,63.1,26.0,10.9,0.0,5.7,75996.49766655367
450,Georgia,Monroe County,26795,2.4,72.1,23.6,0.1,0.8,0.0,30359,13.3,36.8,15.8,24.1,10.2,13.0,85.2,10.1,0.5,0.9,1.1,2.3,26.3,73.7,19.9,6.2,0.2,9.4,187096.2455503939
451,Georgia,Montgomery County,8962,6.5,64.5,26.0,0.2,0.3,0.0,20114,19.5,29.1,19.9,19.7,14.9,16.4,83.7,11.2,0.1,2.3,1.7,1.0,21.3,79.1,15.2,5.7,0.0,6.6,107061.3287257724
452,Georgia,Morgan County,18013,3.1,71.6,23.5,0.1,0.1,0.0,28830,13.4,31.1,15.6,22.1,12.8,18.5,77.9,11.9,0.1,1.4,1.6,7.1,25.9,75.5,17.8,6.7,0.0,5.7,228628.8593647847
453,Georgia,Murray County,39444,14.3,83.3,1.0,0.1,0.4,0.0,19084,18.0,17.0,14.6,23.6,13.2,31.7,87.8,8.8,0.2,1.6,1.0,0.7,27.3,85.6,11.3,3.0,0.2,7.4,121618.91809969147
454,Georgia,Muscogee County,198647,7.5,41.1,45.0,0.3,2.4,0.2,24604,21.7,33.3,19.9,26.7,7.0,13.0,79.7,9.8,1.5,1.3,2.0,5.8,20.0,75.7,20.2,4.0,0.1,10.0,98227.39208420106
455,Georgia,Newton County,105042,5.1,48.7,42.6,0.2,1.0,0.1,23611,16.7,28.9,17.6,25.2,10.3,18.1,82.2,11.3,0.6,0.6,1.6,3.8,31.5,79.2,15.7,4.8,0.3,9.0,142482.0566442711
457,Georgia,Oglethorpe County,14654,4.1,75.9,18.0,0.1,0.3,0.0,21858,17.6,30.4,13.6,19.3,13.7,23.0,85.6,9.1,0.2,0.7,0.6,3.8,28.5,70.9,23.7,5.5,0.0,5.8,142520.1009675239
458,Georgia,Paulding County,152399,5.8,73.0,17.9,0.2,0.9,0.0,26636,9.7,34.6,14.4,28.3,11.1,11.7,84.3,8.4,0.5,0.5,0.6,5.8,37.7,80.8,13.9,5.3,0.1,5.2,176017.05475135005
459,Georgia,Peach County,27027,7.5,46.0,44.4,0.1,1.1,0.1,22388,18.7,29.0,17.9,23.0,17.7,12.5,79.2,13.4,1.8,3.2,0.8,1.7,22.7,73.2,23.9,2.9,0.0,8.6,120983.46639344265
460,Georgia,Pickens County,30343,3.0,93.6,0.5,0.0,0.5,0.0,29460,9.8,31.0,15.5,25.7,14.9,12.8,78.5,10.4,0.5,0.9,1.7,8.0,31.7,80.5,12.0,7.5,0.1,7.0,188175.69943238643
461,Georgia,Pierce County,19141,5.1,84.1,8.9,0.4,0.1,0.0,23754,21.0,30.9,16.9,17.7,16.0,18.4,84.4,9.8,0.0,1.3,1.3,3.2,27.1,76.8,17.2,5.7,0.3,6.2,99570.79385667526
462,Georgia,Pike County,17919,1.5,86.7,10.3,0.0,0.2,0.0,25176,12.3,33.2,14.1,22.6,14.0,16.0,84.3,11.9,0.0,0.1,0.7,3.0,33.7,73.1,21.2,5.6,0.1,9.0,178645.9156833392
463,Georgia,Polk County,41444,13.0,72.0,12.7,0.0,0.7,0.0,22314,19.0,20.9,15.4,22.8,14.6,26.2,86.8,7.3,0.4,1.2,1.1,3.1,26.2,81.1,12.8,6.0,0.1,7.2,92076.76825560328
464,Georgia,Pulaski County,11396,3.6,60.0,34.7,0.2,0.0,0.0,18623,21.8,28.0,22.0,22.6,13.4,13.9,87.3,7.4,0.0,4.1,0.0,1.2,19.3,72.4,22.3,5.3,0.0,6.7,84694.74846933728
465,Georgia,Putnam County,21430,6.6,65.4,26.1,0.0,0.5,0.0,27498,16.2,25.6,23.0,21.9,10.2,19.4,77.1,14.3,0.2,0.9,2.6,4.9,25.0,74.9,17.7,7.4,0.0,6.5,202389.83272689892
467,Georgia,Rabun County,16354,8.1,87.1,1.9,0.5,0.8,0.0,26942,20.3,33.4,19.3,20.9,16.5,9.8,74.7,17.0,0.7,2.6,0.7,4.4,21.6,75.5,13.3,11.2,0.0,5.7,193494.7951102761
471,Georgia,Schley County,5168,5.0,67.2,27.5,0.0,0.0,0.0,19761,22.2,31.2,16.3,21.5,13.5,17.5,87.4,7.5,0.1,1.2,1.1,2.8,24.1,70.1,26.2,3.7,0.0,14.2,89423.47188518755
472,Georgia,Screven County,14037,1.8,54.5,41.7,0.3,0.5,0.0,20255,22.6,27.8,16.0,22.6,11.6,22.0,84.8,10.0,0.0,1.6,0.8,2.8,31.1,77.5,16.2,6.1,0.2,5.5,87768.03341659758
473,Georgia,Seminole County,8549,3.0,61.6,33.7,0.0,1.0,0.0,21257,25.5,34.1,21.9,18.7,7.2,18.2,82.1,10.9,0.9,1.9,1.9,2.3,22.4,74.9,16.3,8.5,0.2,7.3,80640.05710438998
474,Georgia,Spalding County,64192,4.3,59.4,33.3,0.4,0.9,0.0,21675,21.6,27.9,17.2,25.6,10.5,18.8,87.0,8.1,0.4,1.1,1.6,1.7,29.0,80.0,16.1,3.6,0.4,8.3,109506.39778226514
475,Georgia,Stephens County,25625,3.2,82.8,11.7,0.3,0.4,0.0,21657,18.1,28.4,20.4,20.9,9.8,20.4,85.7,7.3,0.0,2.5,0.5,4.0,20.9,78.4,16.1,5.5,0.0,11.7,90921.22384611996
481,Georgia,Taylor County,8267,1.0,57.5,40.4,0.0,0.9,0.0,18482,28.2,28.2,20.9,20.4,13.0,17.5,85.5,11.4,0.3,0.2,1.7,0.9,28.9,63.1,31.0,6.0,0.0,14.1,84496.10576004769
482,Georgia,Telfair County,16339,11.6,49.1,38.8,0.0,0.0,0.0,13594,27.7,24.5,19.2,18.0,12.1,26.2,88.0,4.1,0.0,3.0,1.8,3.1,22.5,66.8,27.2,6.0,0.0,4.1,68072.82806650714
484,Georgia,Thomas County,44909,3.5,57.7,35.8,0.1,0.8,0.0,24047,19.5,35.2,18.6,24.4,8.6,13.3,79.7,14.6,0.0,1.0,2.7,2.0,20.5,75.1,20.2,4.7,0.1,9.3,119733.02300566628
485,Georgia,Tift County,40531,11.4,56.3,29.3,0.1,1.2,0.0,20800,27.8,31.6,16.4,23.7,13.7,14.6,83.0,11.5,0.3,1.3,1.6,2.2,19.9,81.0,14.4,4.4,0.3,3.9,117768.2360671234
486,Georgia,Toombs County,27160,11.6,60.5,25.4,0.0,0.9,0.0,21309,24.4,26.3,18.2,22.7,17.1,15.6,78.4,14.3,0.6,1.7,2.8,2.3,19.4,75.8,17.6,6.6,0.0,10.3,94682.76913859499
487,Georgia,Towns County,11173,1.5,95.0,1.0,0.3,0.2,0.0,22301,14.7,30.3,24.8,26.5,9.2,9.2,79.8,9.8,0.0,3.0,2.0,5.4,19.0,75.1,15.0,9.7,0.2,6.8,201417.99902163018
489,Georgia,Troup County,69433,3.7,57.3,35.1,0.0,1.9,0.0,22091,21.3,28.6,16.0,21.3,8.7,25.4,84.8,9.7,0.2,1.3,2.3,1.7,23.2,82.0,13.6,4.3,0.1,8.9,109397.09795885738
490,Georgia,Turner County,8036,4.6,54.7,39.5,0.2,0.4,0.0,20302,27.9,28.4,17.8,21.1,19.6,13.0,82.9,11.2,0.2,1.0,2.1,2.7,21.6,71.0,25.0,4.0,0.0,6.5,75330.33706239764
491,Georgia,Twiggs County,8323,0.4,54.9,42.6,0.0,0.1,0.0,17485,27.3,20.5,19.1,21.8,18.6,20.0,85.0,8.5,1.3,1.1,0.5,3.6,32.3,76.3,16.9,6.8,0.0,6.3,51214.843916079124
492,Georgia,Union County,22262,3.1,94.2,0.8,0.4,0.7,0.0,26755,12.8,31.5,18.4,23.2,17.4,9.6,82.7,8.8,0.0,1.4,1.1,6.0,22.4,73.8,16.7,9.5,0.0,5.5,183997.64013192765
493,Georgia,Upson County,26241,2.3,67.6,28.5,0.3,0.5,0.1,19624,22.7,29.1,17.4,23.3,10.4,19.9,83.3,13.0,0.4,0.2,1.7,1.4,23.3,75.4,19.6,5.0,0.0,11.2,68622.76216793049
494,Georgia,Walker County,68609,2.0,91.4,4.3,0.1,0.6,0.0,22564,17.2,27.9,13.9,24.5,11.5,22.1,85.4,9.4,0.1,1.0,0.9,3.1,28.4,81.0,13.1,5.7,0.1,7.0,117058.88174570184
495,Georgia,Walton County,88695,4.0,75.9,16.5,0.2,1.2,0.1,25184,12.8,28.5,15.3,27.8,14.4,14.1,82.3,11.6,0.1,1.0,1.1,3.9,32.3,79.2,14.6,5.9,0.2,6.9,195445.62910176395
496,Georgia,Ware County,35688,4.0,63.8,29.5,0.4,1.1,0.0,19246,24.8,25.6,16.1,25.2,13.5,19.6,83.7,8.9,1.6,2.2,1.1,2.4,19.2,74.6,18.5,7.0,0.0,4.6,67025.53909587096
499,Georgia,Wayne County,29833,6.2,71.2,19.5,0.1,0.5,0.0,19188,21.3,30.8,16.0,20.7,16.1,16.3,84.7,8.8,0.3,0.8,3.0,2.4,23.4,70.7,20.7,7.8,0.8,9.5,109649.61130304378
500,Georgia,Webster County,2627,2.1,48.4,48.8,0.1,0.0,0.0,22206,19.5,29.7,15.3,21.9,12.6,20.4,92.8,4.1,0.0,0.9,1.9,0.3,25.8,71.1,26.0,2.9,0.0,4.0,67719.01695616386
501,Georgia,Wheeler County,7952,1.6,56.1,41.7,0.3,0.0,0.0,11192,29.3,14.3,20.5,17.6,19.5,28.1,91.4,2.6,0.0,2.6,1.3,2.2,24.0,61.2,29.8,9.0,0.0,9.1,76722.09339206251
502,Georgia,White County,28509,3.1,92.5,2.1,0.1,0.5,0.0,23630,17.7,30.5,19.1,25.9,9.9,14.7,83.8,9.9,0.2,1.2,1.2,3.7,27.0,75.4,16.6,7.8,0.1,4.3,162472.6484396042
504,Georgia,Wilcox County,8896,4.3,58.5,35.3,0.3,0.0,0.0,15119,21.8,28.7,23.8,16.5,16.0,15.0,85.6,8.1,0.5,1.7,1.1,3.1,27.2,61.0,28.7,10.1,0.1,7.6,71061.53492119313
505,Georgia,Wilkes County,9905,4.6,51.1,42.5,0.0,0.8,0.0,21957,26.5,24.1,23.8,15.3,9.9,26.8,80.6,12.1,0.2,3.5,0.6,3.1,25.2,75.2,19.0,5.8,0.0,7.5,79099.73848221781
506,Georgia,Wilkinson County,9147,2.7,56.8,38.2,0.1,0.0,0.1,19823,23.3,23.1,16.5,26.1,16.5,17.7,85.5,9.0,0.2,1.6,1.0,2.8,26.3,78.6,16.6,4.8,0.0,8.8,67909.24559816149
507,Georgia,Worth County,20809,2.0,67.4,28.2,0.5,0.3,0.0,20783,21.5,27.1,16.5,23.2,15.3,17.8,87.1,6.6,0.0,0.3,1.4,4.6,26.3,75.6,17.1,7.3,0.0,9.7,97382.28121814675
512,Idaho,Ada County,435117,7.9,85.2,1.2,0.4,2.6,0.1,31642,11.8,43.0,16.6,25.0,6.9,8.4,80.7,7.7,0.5,1.5,2.8,6.9,20.4,78.3,15.0,6.6,0.1,4.3,252116.35338176286
513,Idaho,Adams County,3946,3.3,92.7,0.3,1.2,0.0,0.2,24315,13.8,33.1,19.4,21.2,13.9,12.5,69.0,13.1,0.8,4.4,1.8,10.9,24.1,65.4,22.0,12.5,0.0,8.7,210462.06044656236
514,Idaho,Bannock County,84113,8.3,84.5,0.6,2.7,1.2,0.2,23872,17.6,35.5,18.2,25.2,9.0,12.2,76.2,11.1,1.5,4.2,2.6,4.3,17.6,73.1,20.9,5.9,0.2,6.3,157823.2039827614
515,Idaho,Bear Lake County,5942,4.1,93.7,0.8,0.2,0.7,0.0,24411,14.5,23.1,20.2,24.2,18.6,13.9,71.6,16.8,0.3,3.8,1.1,6.4,23.0,75.6,14.5,9.4,0.4,3.7,170865.97017305307
516,Idaho,Benewah County,9050,3.4,84.7,0.2,8.1,1.0,0.2,23120,15.8,22.1,22.1,17.9,14.8,23.1,77.2,8.3,0.7,6.9,2.7,4.2,20.8,69.6,20.7,9.5,0.2,9.6,162353.15361258716
517,Idaho,Bingham County,45369,17.9,74.0,0.3,4.9,0.9,0.0,20720,13.1,31.2,17.6,20.5,15.7,14.9,77.5,12.0,2.0,1.8,1.8,4.8,21.9,75.0,17.8,6.8,0.4,5.2,167516.72515983702
519,Idaho,Boise County,6968,4.1,91.8,0.2,1.0,0.7,0.0,29648,11.3,40.3,13.9,24.4,10.4,11.1,68.8,12.8,0.4,5.5,2.6,9.9,38.1,65.8,22.0,11.8,0.3,6.0,183519.72876886572
520,Idaho,Bonner County,41855,2.9,93.6,0.1,0.6,0.7,0.1,25909,14.0,26.6,19.1,22.0,14.2,18.1,75.6,9.6,0.5,1.8,2.3,10.2,25.6,77.3,11.5,11.2,0.0,4.4,289341.4870113645
521,Idaho,Bonneville County,110404,12.7,83.6,0.5,0.3,0.8,0.2,25706,11.9,35.8,16.8,24.0,10.3,13.1,78.4,10.9,2.9,1.6,1.6,4.5,19.2,78.0,15.7,6.1,0.2,3.8,186018.9723587681
522,Idaho,Boundary County,11323,4.6,90.9,0.2,1.3,0.5,0.4,24606,18.3,26.0,22.4,20.0,14.9,16.7,76.7,10.9,0.0,3.6,0.7,8.0,23.7,71.2,15.0,13.5,0.4,3.8,217626.05854445975
524,Idaho,Canyon County,207027,24.9,70.9,0.4,0.7,0.8,0.2,19765,17.1,26.5,19.2,23.6,14.4,16.3,78.1,11.5,0.3,1.7,1.9,6.6,24.6,81.2,11.7,6.8,0.4,7.3,181509.9528696345
525,Idaho,Caribou County,6862,5.4,93.5,0.0,0.1,0.0,0.0,25669,9.4,31.5,15.1,18.9,17.7,16.8,73.5,17.8,0.0,3.7,0.4,4.7,15.6,75.2,16.1,8.0,0.7,2.7,168243.002440966
526,Idaho,Cassia County,23472,27.0,70.4,0.1,0.9,0.6,0.1,20007,14.7,27.1,14.1,21.0,18.4,19.4,79.1,12.8,0.6,3.2,0.9,3.4,14.8,79.3,11.2,9.4,0.1,4.3,160105.39971614096
528,Idaho,Clearwater County,8533,3.9,91.0,0.2,2.1,0.5,0.4,22169,13.9,31.8,20.0,16.6,15.9,15.7,74.3,12.1,0.1,4.8,2.2,6.5,29.0,65.4,23.5,10.8,0.3,6.2,141726.41042814724
530,Idaho,Elmore County,26232,16.4,73.3,2.9,1.4,3.1,0.2,23029,14.9,28.3,17.1,20.5,18.6,15.5,81.7,9.9,0.5,1.5,2.1,4.2,17.2,63.0,29.4,7.3,0.3,7.3,138161.280430664
531,Idaho,Franklin County,13120,6.7,91.3,0.3,0.6,0.0,0.1,20454,12.2,27.1,12.2,23.7,16.7,20.3,77.6,12.7,0.6,3.2,1.0,4.9,25.0,85.1,10.5,4.1,0.2,2.4,207702.47758792774
532,Idaho,Fremont County,12889,12.5,85.1,0.2,0.3,0.1,0.2,21611,11.9,28.2,15.0,22.7,19.0,15.1,78.4,10.7,1.0,2.5,1.7,5.7,25.9,71.6,17.6,10.3,0.5,5.9,188323.32385566927
533,Idaho,Gem County,16850,8.3,88.0,0.0,0.9,0.7,0.0,20041,20.7,26.9,22.1,20.6,17.7,12.7,77.0,10.6,0.1,1.9,2.2,8.2,29.6,72.0,17.0,9.7,1.3,6.0,185764.35781418104
534,Idaho,Gooding County,15110,28.8,68.1,0.1,1.1,0.5,0.2,20821,15.9,28.4,18.4,16.2,22.8,14.2,81.7,8.1,0.1,1.8,1.5,6.9,20.8,78.8,12.5,7.7,1.0,5.5,142068.05055986895
535,Idaho,Idaho County,16275,3.2,91.3,0.1,2.9,0.3,0.1,20741,13.5,27.1,17.2,22.4,17.3,16.0,69.0,12.1,0.6,8.2,1.5,8.6,17.4,65.1,23.1,11.4,0.4,5.4,163589.15055363826
536,Idaho,Jefferson County,27410,10.4,87.1,0.1,0.3,0.3,0.2,21519,9.5,34.6,12.5,21.0,18.5,13.3,77.2,10.4,2.4,2.8,2.1,5.2,24.6,76.4,14.5,8.7,0.4,4.6,210324.40010794238
537,Idaho,Jerome County,23039,34.5,63.1,0.1,0.3,0.4,0.3,19329,16.3,23.0,15.0,19.8,22.8,19.5,79.4,14.1,0.6,2.0,0.4,3.4,18.0,85.3,7.0,7.5,0.2,4.6,174837.38421888032
538,Idaho,Kootenai County,150128,4.4,91.0,0.4,1.3,0.7,0.1,28275,12.6,32.0,18.9,26.7,11.7,10.6,81.6,8.9,0.3,2.0,1.7,5.5,21.7,78.9,13.3,7.6,0.2,6.1,256570.6693738074
540,Idaho,Lemhi County,7755,3.2,93.3,0.2,0.6,0.2,0.0,22489,17.1,30.7,16.6,26.6,14.5,11.6,72.0,12.6,0.1,4.9,3.3,7.1,16.0,65.1,20.9,13.5,0.5,4.4,166191.24123104347
541,Idaho,Lewis County,3824,4.3,85.6,0.1,6.8,0.8,0.0,23285,15.3,31.6,20.8,18.6,14.4,14.6,72.5,10.0,0.1,8.5,2.5,6.3,22.7,61.8,26.5,11.0,0.7,5.9,123829.10504701642
542,Idaho,Lincoln County,5296,29.8,67.3,0.0,0.5,0.2,0.0,19095,11.5,21.3,17.6,18.0,22.5,20.6,70.2,15.5,1.2,3.4,3.4,6.3,28.7,75.4,14.3,10.2,0.1,3.1,144436.25408131012
543,Idaho,Madison County,38241,7.1,89.0,0.6,0.0,1.1,0.1,15257,31.8,39.0,19.2,23.4,8.8,9.6,68.8,12.7,0.5,8.7,3.8,5.5,14.1,84.4,10.8,4.2,0.5,9.2,201502.4211983362
544,Idaho,Minidoka County,20448,34.4,63.1,0.2,0.5,0.4,0.0,21887,17.9,21.8,14.6,21.2,20.9,21.6,86.0,9.9,0.1,1.1,0.4,2.5,17.2,82.2,12.9,5.0,0.0,3.9,142743.45730569758
545,Idaho,Nez Perce County,40014,3.7,87.2,0.4,5.4,0.9,0.1,26799,14.4,31.3,18.9,24.1,10.2,15.6,82.1,8.3,0.2,2.8,1.6,4.9,16.0,75.4,17.1,7.3,0.2,4.2,196900.3830081205
546,Idaho,Oneida County,4284,4.2,93.7,0.1,0.4,0.0,0.0,21360,12.6,30.3,16.5,15.1,16.3,21.8,77.0,14.2,0.0,4.1,0.8,4.0,24.6,70.2,22.9,6.6,0.3,5.4,129067.1723939512
548,Idaho,Payette County,22839,17.0,78.8,0.4,0.6,0.6,0.0,23361,15.5,23.8,18.0,24.1,14.2,19.9,77.5,14.6,0.1,3.4,1.3,3.0,19.1,78.8,13.5,7.7,0.0,6.1,181076.79345425416
549,Idaho,Power County,7667,32.9,62.5,0.3,3.4,0.0,0.0,21513,11.6,25.5,13.3,19.3,17.2,24.8,79.8,8.1,0.6,3.5,0.3,7.7,18.2,66.9,24.7,7.9,0.6,10.2,140470.59354517236
550,Idaho,Shoshone County,12490,3.4,91.8,0.3,2.2,0.5,0.0,23834,17.4,26.1,23.7,19.9,17.5,12.8,74.8,9.8,0.6,6.8,2.4,5.7,19.4,80.3,14.3,5.1,0.2,8.9,124588.08052481664
551,Idaho,Teton County,10776,17.0,81.1,0.2,0.2,0.1,0.0,28004,8.3,35.1,24.1,16.4,17.8,6.6,70.2,16.7,0.9,2.2,1.6,8.3,27.9,80.3,11.3,8.4,0.0,6.2,414626.78141737316
552,Idaho,Twin Falls County,82248,15.6,80.2,0.6,0.8,1.6,0.1,22723,14.4,29.6,18.3,22.8,13.1,16.2,82.5,9.9,0.2,2.2,1.6,3.5,17.4,80.9,11.4,7.4,0.3,4.3,174412.71134142074
553,Idaho,Valley County,10104,4.4,94.7,0.1,0.2,0.1,0.0,28515,10.4,35.0,20.9,20.1,10.6,13.4,78.7,5.8,0.7,7.0,0.8,7.0,15.9,75.2,14.3,10.3,0.2,4.3,284073.70918705344
554,Idaho,Washington County,9996,17.2,78.7,0.0,0.8,1.0,0.0,20435,15.7,26.5,24.0,16.9,16.7,15.9,69.6,13.1,0.1,5.8,3.3,8.0,19.7,66.9,23.1,10.0,0.0,9.3,138072.7886293731
555,Illinois,Adams County,66787,1.5,92.0,3.9,0.2,0.8,0.1,27256,13.1,31.8,17.4,26.1,8.9,15.8,82.6,8.6,0.4,2.3,1.5,4.5,17.0,83.1,10.6,6.1,0.1,5.5,140261.847519333
556,Illinois,Bond County,17034,3.5,87.8,6.1,0.2,1.2,0.0,24473,15.7,24.5,18.5,26.0,11.6,19.3,77.0,9.9,0.4,7.9,0.3,4.5,24.5,80.8,12.2,6.7,0.2,5.1,107595.55383916585
557,Illinois,Boone County,53638,21.0,74.0,2.1,0.3,1.2,0.0,29029,10.6,29.0,15.5,23.1,11.6,20.8,84.2,9.0,0.3,0.7,0.5,5.3,29.0,83.7,9.4,6.9,0.0,8.1,147942.81848216167
559,Illinois,Bureau County,33619,8.8,88.4,0.8,0.1,0.8,0.0,28332,12.6,28.0,19.1,22.7,10.0,20.2,82.0,9.2,0.8,1.9,1.9,4.2,20.6,82.1,10.5,7.2,0.2,5.7,83684.8568818082
560,Illinois,Calhoun County,4897,1.1,96.7,0.3,0.1,0.9,0.0,25660,12.8,31.2,21.5,16.9,17.0,13.4,82.1,8.2,1.2,2.2,0.7,5.6,39.6,76.2,14.0,9.1,0.6,3.7,131589.42668158148
561,Illinois,Carroll County,14704,3.6,93.4,1.2,0.1,0.7,0.0,27605,11.3,31.0,16.2,19.6,9.9,23.2,81.5,9.1,0.9,2.6,0.7,5.2,24.7,76.4,14.6,8.8,0.1,5.8,89940.06320398567
562,Illinois,Cass County,12880,18.8,76.2,3.9,0.0,0.3,0.0,25451,13.1,23.8,16.4,21.1,11.1,27.6,77.8,12.8,0.4,3.3,1.5,4.2,20.5,77.3,14.4,8.0,0.3,6.9,58969.53093998985
564,Illinois,Christian County,33562,1.6,95.2,1.6,0.3,0.6,0.1,25614,12.8,30.8,18.4,22.7,11.5,16.6,83.2,9.7,0.7,1.8,0.8,3.8,25.2,79.0,13.2,7.7,0.1,4.6,79775.57545369714
565,Illinois,Clark County,15924,1.5,96.7,0.3,0.1,0.4,0.0,28495,14.3,25.5,17.3,21.1,11.8,24.2,80.2,12.0,0.0,1.7,1.2,4.9,22.4,80.4,10.9,8.4,0.2,6.5,100056.44349282945
566,Illinois,Clay County,13393,1.4,96.4,0.7,0.1,0.7,0.0,25700,14.0,24.5,15.1,19.8,13.1,27.5,85.4,8.5,1.1,1.2,1.3,2.5,20.6,81.5,11.8,6.7,0.0,5.0,78181.89589528675
567,Illinois,Clinton County,37640,3.1,91.6,3.5,0.3,0.6,0.0,30382,9.0,34.6,15.9,21.4,11.3,16.7,83.5,8.8,1.0,1.9,1.6,3.1,25.1,80.5,13.4,6.0,0.0,3.9,131252.7824820273
568,Illinois,Coles County,52540,2.4,91.0,3.8,0.2,1.2,0.0,26060,21.0,31.2,19.5,24.6,7.5,17.2,77.0,10.0,0.9,5.6,2.0,4.5,16.3,75.9,17.5,6.4,0.1,7.3,91505.05645103211
570,Illinois,Crawford County,19214,2.9,91.0,4.1,0.1,0.4,0.0,25955,11.9,28.6,16.1,21.5,11.3,22.4,84.3,10.6,0.3,1.6,0.8,2.4,15.8,80.2,13.6,6.0,0.2,6.2,70566.31925905844
571,Illinois,Cumberland County,10899,1.1,96.7,0.1,0.2,0.3,0.1,24956,14.3,26.2,17.7,18.7,14.6,22.8,85.9,7.2,0.3,2.1,0.6,4.0,22.4,81.0,11.8,7.2,0.0,5.0,103574.07125176764
